,Unnamed: 0,Interwencje,Zatrzymani na gorącym uczynku,Zatrzymani poszukiwani,Zatrzymani nietrzeźwi kierujący,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,temperature,temperature_min,temperature_max,winddirection,windspeed,pressure,allbed_mean,ICUbed_mean,deaths_mean,admis_mean,newICU_mean,totdea_mean,bedover_mean,icuover_mean,mobility_composite,total_tests,confirmed_infections,smp,testy,testyl,zar,chor,zgo,wyl,pieszo,pojazdem,hosp,kwar,kwar_z,nadzor,date
2020-01-01,12.0,19145.0,734.0,188.0,332.0,42.0,1.0,46.0,1.4,0.8,5.6,267.0,17.4,1029.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
2020-01-02,11.0,14654.0,513.0,333.0,166.0,60.0,5.0,67.0,0.8,-1.7,3.1,214.65068493150685,13.8,1026.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0
2020-01-03,10.0,15507.0,468.0,405.0,122.0,62.0,3.0,69.0,0.5,-4.1,4.6,205.0,6.4,1020.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,2.0
2020-01-04,9.0,14528.0,435.0,176.0,135.0,59.0,4.0,64.0,3.7,1.6,5.3,258.0,20.7,1012.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.0
2020-01-05,8.0,11948.0,457.0,185.0,146.0,44.0,4.0,54.0,0.4,-2.4,2.3,283.0,17.9,1025.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,4.0
2020-01-06,7.0,10447.0,396.0,164.0,119.0,24.0,0.0,27.0,-0.1,-3.1,1.6,209.0,4.3,1029.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,5.0
2020-01-07,6.0,15091.0,495.0,311.0,110.0,69.0,4.0,80.0,1.1,0.2,2.2,178.0,5.0,1026.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,6.0
2020-01-08,5.0,14078.0,475.0,341.0,98.0,70.0,4.0,74.0,3.5,0.5,5.5,207.0,7.2,1025.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,7.0
2020-01-09,4.0,14552.0,520.0,386.0,116.0,82.0,5.0,103.0,5.9,4.2,6.6,203.0,7.8,1020.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,8.0
2020-01-10,3.0,16023.0,550.0,364.0,136.0,98.0,5.0,107.0,7.3,5.8,9.1,217.0,10.4,1014.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,9.0
2020-01-11,2.0,16192.0,636.0,218.0,222.0,45.0,6.0,47.0,5.6,4.0,8.9,289.0,17.2,1023.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,10.0
2020-01-12,1.0,12853.0,584.0,235.0,212.0,40.0,0.0,52.0,3.7,2.0,5.1,205.0,8.4,1022.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,11.0
2020-01-13,0.0,14512.0,572.0,342.0,156.0,56.0,4.0,68.0,4.8,2.0,10.947972972972973,214.65068493150685,12.888513513513514,1017.1385135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,12.0
2020-01-14,14.0,14591.0,566.0,388.0,135.0,65.0,9.0,68.0,3.2,1.0,6.2,156.0,9.5,1018.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,13.0
2020-01-15,13.0,14500.0,584.0,397.0,138.0,70.0,3.0,78.0,4.9,1.9,9.7,159.0,8.9,1020.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,14.0
2020-01-16,12.0,14981.0,623.0,402.0,152.0,78.0,7.0,84.0,3.6,-0.8,7.4,227.0,9.0,1028.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,15.0
2020-01-17,11.0,15732.0,559.0,388.0,156.0,85.0,11.0,96.0,-0.3,-4.6,2.3,121.0,12.9,1029.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,16.0
2020-01-18,10.0,15126.0,642.0,219.0,208.0,68.0,12.0,72.0,2.6,-0.3,5.2,193.0,6.9,1023.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,17.0
2020-01-19,9.0,12159.0,614.0,191.0,233.0,50.0,5.0,59.0,2.8,0.2,5.9,282.0,8.3,1031.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,18.0
2020-01-20,8.0,14002.0,558.0,371.0,159.0,61.0,10.0,71.0,2.1,0.5,3.3,272.0,12.6,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,19.0
2020-01-21,7.0,14056.0,539.0,386.0,116.0,56.0,5.0,64.0,2.4,-0.2,6.1,256.0,21.3,1035.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,20.0
2020-01-22,6.0,13701.0,488.0,403.0,102.0,65.0,8.0,74.0,2.8,1.1,5.4,267.0,23.0,1024.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,21.0
2020-01-23,5.0,14368.0,571.0,401.0,134.0,57.0,0.0,71.0,0.7,-1.0,3.2,259.0,15.6,1030.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,22.0
2020-01-24,4.0,15552.0,572.0,379.0,132.0,74.0,7.0,85.0,1.2,-1.1,3.6,250.0,13.5,1022.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,23.0
2020-01-25,3.0,14783.0,625.0,236.0,210.0,70.0,9.0,82.0,0.6,0.2,1.7,254.0,13.4,1020.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,24.0
2020-01-26,2.0,12607.0,574.0,190.0,200.0,33.0,5.0,36.0,-0.2,-1.3,0.5,209.0,6.8,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,25.0
2020-01-27,1.0,14250.0,518.0,319.0,129.0,65.0,4.0,78.0,0.8,-2.3,5.4,173.0,5.0,1014.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,26.0
2020-01-28,0.0,13930.0,600.0,389.0,141.0,61.0,4.0,65.0,1.4,-0.9,4.3,143.0,10.4,1002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,27.0
2020-01-29,14.0,13690.0,531.0,376.0,110.0,69.0,5.0,73.0,2.3,0.4,3.8,230.0,13.5,999.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,28.0
2020-01-30,13.0,13695.0,487.0,415.0,120.0,71.0,4.0,80.0,3.3,0.8,5.1,242.0,14.6,1006.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,29.0
2020-01-31,12.0,15133.0,564.0,394.0,146.0,85.0,11.0,91.0,6.4,2.3,8.8,236.0,19.5,1000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,30.0
