,zar,chor,zgo,wyl
2020-03-07,1,,,
2020-03-08,1,,,
2020-03-09,3,,,
2020-03-10,4,,,
2020-03-11,4,,,
2020-03-12,7,,,
2020-03-13,8,,1.0,
2020-03-14,13,,1.0,
2020-03-15,14,,1.0,
2020-03-16,24,,1.0,
2020-03-17,33,,2.0,
2020-03-18,40,,2.0,
2020-03-19,53,,2.0,
2020-03-20,59,,2.0,
2020-03-21,66,,2.0,
2020-03-22,79,,2.0,
2020-03-23,97,,2.0,
2020-03-24,117,,2.0,
2020-03-25,150,,4.0,
2020-03-26,165,,4.0,
2020-03-27,189,,4.0,
2020-03-28,199,,4.0,
2020-03-29,234,,4.0,
2020-03-30,258,,4.0,
2020-03-31,274,,4.0,
2020-04-01,298,,4.0,
2020-04-02,338,,6.0,
2020-04-03,400,,6.0,
2020-04-04,407,,6.0,
2020-04-05,468,,10.0,
2020-04-06,488,,13.0,
2020-04-07,527,,13.0,
2020-04-08,539,523.0,15.0,1.0
2020-04-09,568,546.0,18.0,4.0
2020-04-10,637,613.0,20.0,4.0
2020-04-11,660,623.0,22.0,15.0
2020-04-12,697,659.0,23.0,15.0
2020-04-13,709,670.0,24.0,15.0
2020-04-14,723,669.0,25.0,29.0
2020-04-15,764,710.0,25.0,29.0
2020-04-16,819,753.0,28.0,38.0
2020-04-17,893,823.0,30.0,40.0
2020-04-18,949,879.0,30.0,40.0
2020-04-19,1044,967.0,30.0,47.0
2020-04-20,1077,983.0,33.0,61.0
2020-04-21,1118,985.0,33.0,100.0
2020-04-22,1143,983.0,36.0,124.0
2020-04-23,1212,1045.0,36.0,131.0
2020-04-24,1235,1066.0,37.0,132.0
2020-04-25,1275,1103.0,40.0,132.0
2020-04-26,1338,1160.0,41.0,137.0
2020-04-27,1412,1225.0,41.0,146.0
2020-04-28,1461,1247.0,44.0,170.0
2020-04-29,1520,1275.0,47.0,198.0
2020-04-30,1563,1292.0,48.0,223.0
2020-05-01,1580,1271.0,48.0,261.0
2020-05-02,1620,1296.0,49.0,275.0
2020-05-03,1645,1303.0,52.0,290.0
2020-05-04,1723,1304.0,52.0,367.0
2020-05-05,1769,1307.0,57.0,405.0
2020-05-06,1789,1294.0,57.0,438.0
2020-05-07,1825,1293.0,59.0,473.0
2020-05-08,1870,1318.0,66.0,486.0
2020-05-09,1903,1320.0,67.0,516.0
2020-05-10,2002,1388.0,67.0,547.0
2020-05-11,2024,1376.0,72.0,576.0
2020-05-12,2056,1303.0,78.0,675.0
2020-05-13,2100,1305.0,79.0,716.0
2020-05-14,2125,1309.0,82.0,734.0
2020-05-15,2141,1176.0,89.0,876.0
2020-05-16,2160,1187.0,89.0,884.0
2020-05-17,2166,1193.0,89.0,884.0
2020-05-18,2226,1171.0,91.0,964.0
2020-05-19,2257,1148.0,93.0,1016.0
2020-05-20,2276,1129.0,94.0,1053.0
2020-05-21,2295,1138.0,94.0,1063.0
2020-05-22,2366,1160.0,96.0,1110.0
2020-05-23,2399,1193.0,96.0,1110.0
2020-05-24,2418,1185.0,96.0,1137.0
2020-05-25,2455,1116.0,98.0,1241.0
2020-05-26,2471,1094.0,101.0,1276.0
2020-05-27,2512,1124.0,101.0,1287.0
2020-05-28,2530,1066.0,102.0,1362.0
