,zar,chor,zgo,wyl
2020-03-17,8,,,
2020-03-18,8,,,
2020-03-19,11,,,
2020-03-20,14,,,
2020-03-21,16,,,
2020-03-22,18,,,
2020-03-23,20,,,
2020-03-24,22,,,
2020-03-25,24,,,
2020-03-26,31,,,
2020-03-27,33,,,
2020-03-28,37,,,
2020-03-29,47,,,
2020-03-30,72,,,
2020-03-31,76,,,
2020-04-01,84,,,
2020-04-02,157,,,
2020-04-03,199,,1.0,
2020-04-04,224,,1.0,
2020-04-05,241,,2.0,
2020-04-06,245,,2.0,
2020-04-07,264,,2.0,
2020-04-08,277,267.0,5.0,5.0
2020-04-09,280,263.0,6.0,11.0
2020-04-10,290,272.0,6.0,12.0
2020-04-11,313,290.0,7.0,16.0
2020-04-12,336,313.0,7.0,16.0
2020-04-13,345,322.0,7.0,16.0
2020-04-14,352,323.0,9.0,20.0
2020-04-15,359,326.0,12.0,21.0
2020-04-16,367,333.0,13.0,21.0
2020-04-17,387,353.0,13.0,21.0
2020-04-18,398,343.0,16.0,39.0
2020-04-19,406,351.0,16.0,39.0
2020-04-20,421,365.0,17.0,39.0
2020-04-21,438,344.0,17.0,77.0
2020-04-22,452,344.0,20.0,88.0
2020-04-23,460,336.0,20.0,104.0
2020-04-24,471,327.0,24.0,120.0
2020-04-25,474,325.0,26.0,123.0
2020-04-26,478,327.0,26.0,125.0
2020-04-27,483,332.0,26.0,125.0
2020-04-28,518,360.0,27.0,131.0
2020-04-29,537,342.0,28.0,167.0
2020-04-30,544,325.0,28.0,191.0
2020-05-01,551,330.0,28.0,193.0
2020-05-02,555,328.0,29.0,198.0
2020-05-03,557,325.0,29.0,203.0
2020-05-04,557,318.0,29.0,210.0
2020-05-05,561,311.0,30.0,220.0
2020-05-06,561,301.0,30.0,230.0
2020-05-07,569,299.0,31.0,239.0
2020-05-08,571,293.0,32.0,246.0
2020-05-09,572,294.0,32.0,246.0
2020-05-10,574,291.0,32.0,251.0
2020-05-11,577,285.0,32.0,260.0
2020-05-12,577,279.0,34.0,264.0
2020-05-13,577,232.0,39.0,306.0
2020-05-14,578,229.0,40.0,309.0
2020-05-15,581,224.0,42.0,315.0
2020-05-16,582,200.0,42.0,340.0
2020-05-17,582,187.0,43.0,352.0
2020-05-18,582,180.0,44.0,358.0
2020-05-19,583,151.0,44.0,388.0
2020-05-20,584,143.0,44.0,397.0
2020-05-21,587,131.0,44.0,412.0
2020-05-22,590,127.0,45.0,418.0
2020-05-23,592,117.0,45.0,430.0
2020-05-24,593,118.0,45.0,430.0
2020-05-25,594,114.0,46.0,434.0
2020-05-26,594,99.0,46.0,449.0
2020-05-27,595,90.0,46.0,459.0
2020-05-28,595,90.0,46.0,459.0
