,zar,chor,zgo,wyl
2020-03-12,2,,,
2020-03-13,5,,,
2020-03-14,15,,,
2020-03-16,21,,,
2020-03-17,34,,,
2020-03-19,48,,,
2020-03-20,48,,,
2020-03-21,57,,,
2020-03-22,106,,,
2020-03-23,111,,,
2020-03-24,129,,,
2020-03-26,158,,,
2020-03-27,168,,,
2020-03-28,182,171.0,,11.0
2020-03-29,190,179.0,,11.0
2020-03-30,202,191.0,,11.0
2020-03-31,208,194.0,,14.0
2020-04-01,221,203.0,1.0,17.0
2020-04-02,236,218.0,1.0,17.0
2020-04-03,248,230.0,1.0,17.0
2020-04-04,259,219.0,3.0,37.0
2020-04-05,326,285.0,3.0,38.0
2020-04-06,340,299.0,3.0,38.0
2020-04-07,358,300.0,5.0,53.0
2020-04-08,400,311.0,5.0,84.0
2020-04-09,432,330.0,7.0,95.0
2020-04-10,463,357.0,7.0,99.0
2020-04-11,492,380.0,7.0,105.0
2020-04-12,529,417.0,7.0,105.0
2020-04-13,551,418.0,7.0,126.0
2020-04-14,567,428.0,7.0,132.0
2020-04-15,572,425.0,8.0,139.0
2020-04-16,590,440.0,8.0,142.0
2020-04-17,607,449.0,8.0,150.0
2020-04-18,640,471.0,8.0,161.0
2020-04-19,660,470.0,8.0,182.0
2020-04-20,682,478.0,10.0,194.0
2020-04-21,694,482.0,10.0,202.0
2020-04-22,765,542.0,12.0,211.0
2020-04-23,781,535.0,19.0,227.0
2020-04-24,813,542.0,20.0,251.0
2020-04-25,836,541.0,21.0,274.0
2020-04-26,855,551.0,21.0,283.0
2020-04-27,890,582.0,21.0,287.0
2020-04-28,904,563.0,23.0,318.0
2020-04-29,936,563.0,27.0,346.0
2020-04-30,954,561.0,31.0,362.0
2020-05-01,972,555.0,34.0,383.0
2020-05-02,1006,584.0,34.0,388.0
2020-05-03,1049,613.0,34.0,402.0
2020-05-04,1068,626.0,34.0,408.0
2020-05-05,1080,626.0,35.0,419.0
2020-05-06,1098,640.0,36.0,422.0
2020-05-07,1150,681.0,39.0,430.0
2020-05-08,1150,668.0,40.0,442.0
2020-05-09,1166,680.0,40.0,446.0
2020-05-10,1178,684.0,40.0,454.0
2020-05-11,1188,693.0,40.0,455.0
2020-05-12,1201,677.0,44.0,480.0
2020-05-13,1212,656.0,45.0,511.0
2020-05-14,1219,627.0,45.0,547.0
2020-05-15,1227,618.0,46.0,563.0
2020-05-16,1234,577.0,47.0,610.0
2020-05-17,1240,501.0,48.0,691.0
2020-05-18,1251,449.0,48.0,754.0
2020-05-19,1257,444.0,49.0,764.0
2020-05-20,1273,443.0,51.0,779.0
2020-05-21,1279,432.0,51.0,796.0
2020-05-22,1316,393.0,51.0,872.0
2020-05-23,1328,351.0,58.0,919.0
2020-05-24,1347,360.0,58.0,929.0
2020-05-25,1362,372.0,58.0,932.0
2020-05-26,1384,374.0,61.0,949.0
2020-05-27,1412,379.0,63.0,970.0
2020-05-28,1458,397.0,63.0,998.0
