,zar,chor,zgo,wyl
2020-03-18,22,,1,
2020-03-19,25,,1,
2020-03-20,28,,1,
2020-03-21,30,,1,
2020-03-22,37,,1,
2020-03-23,44,,1,
2020-03-24,54,,2,
2020-03-25,58,,2,
2020-03-26,74,,2,
2020-03-27,78,,2,
2020-03-28,85,74.0,3,8.0
2020-03-29,101,85.0,3,13.0
2020-03-30,111,93.0,4,14.0
2020-03-31,131,113.0,4,14.0
2020-04-01,133,107.0,4,22.0
2020-04-02,151,124.0,5,22.0
2020-04-03,158,130.0,6,22.0
2020-04-04,165,136.0,6,23.0
2020-04-05,174,142.0,6,26.0
2020-04-06,181,137.0,7,37.0
2020-04-07,192,140.0,7,45.0
2020-04-08,199,142.0,8,49.0
2020-04-09,204,143.0,8,53.0
2020-04-10,221,151.0,9,61.0
2020-04-11,224,143.0,10,71.0
2020-04-12,233,147.0,10,76.0
2020-04-13,239,151.0,10,78.0
2020-04-14,243,151.0,10,82.0
2020-04-15,269,173.0,10,86.0
2020-04-16,278,176.0,10,92.0
2020-04-17,289,182.0,10,97.0
2020-04-18,292,184.0,10,98.0
2020-04-19,307,194.0,10,103.0
2020-04-20,310,187.0,10,113.0
2020-04-21,324,195.0,10,119.0
2020-04-22,331,198.0,10,123.0
2020-04-23,335,195.0,10,130.0
2020-04-24,341,192.0,10,139.0
2020-04-25,345,193.0,10,142.0
2020-04-26,350,191.0,12,147.0
2020-04-27,352,191.0,13,148.0
2020-04-28,355,180.0,13,162.0
2020-04-29,358,178.0,13,167.0
2020-04-30,359,167.0,13,179.0
2020-05-01,364,158.0,13,193.0
2020-05-02,366,157.0,13,196.0
2020-05-03,373,162.0,14,197.0
2020-05-04,373,149.0,14,210.0
2020-05-05,375,143.0,14,218.0
2020-05-06,379,145.0,14,220.0
2020-05-07,380,133.0,14,233.0
2020-05-08,383,124.0,14,245.0
2020-05-09,385,124.0,14,247.0
2020-05-10,387,120.0,14,253.0
2020-05-11,391,115.0,14,262.0
2020-05-12,395,114.0,14,267.0
2020-05-13,397,111.0,14,272.0
2020-05-14,399,111.0,14,274.0
2020-05-15,400,108.0,14,278.0
2020-05-16,400,107.0,14,279.0
2020-05-17,401,106.0,14,281.0
2020-05-18,408,107.0,14,287.0
2020-05-19,408,103.0,14,291.0
2020-05-20,410,100.0,14,296.0
2020-05-21,416,101.0,15,300.0
2020-05-22,419,97.0,15,307.0
2020-05-23,420,97.0,15,308.0
2020-05-24,433,103.0,15,315.0
2020-05-25,445,110.0,15,320.0
2020-05-26,448,110.0,15,323.0
2020-05-27,470,131.0,15,324.0
2020-05-28,484,143.0,15,326.0
