,zar,chor,zgo,wyl
2020-03-14,1,,,
2020-03-15,2,,,
2020-03-16,2,,,
2020-03-17,2,,,
2020-03-18,3,,,
2020-03-19,9,,,
2020-03-20,9,8.0,,1.0
2020-03-21,9,8.0,,1.0
2020-03-22,11,10.0,,1.0
2020-03-23,16,15.0,,1.0
2020-03-24,20,19.0,,1.0
2020-03-25,20,19.0,,1.0
2020-03-26,30,29.0,,1.0
2020-03-27,31,30.0,,1.0
2020-03-28,32,31.0,,1.0
2020-03-29,32,31.0,,1.0
2020-03-30,36,35.0,,1.0
2020-03-31,42,41.0,,1.0
2020-04-01,47,46.0,,1.0
2020-04-02,48,47.0,,1.0
2020-04-03,49,45.0,,4.0
2020-04-04,56,52.0,,4.0
2020-04-05,59,55.0,,4.0
2020-04-06,62,53.0,,9.0
2020-04-07,62,53.0,,9.0
2020-04-08,66,52.0,,14.0
2020-04-09,69,52.0,,17.0
2020-04-10,74,56.0,,18.0
2020-04-11,76,57.0,,19.0
2020-04-12,78,59.0,,19.0
2020-04-13,78,59.0,,19.0
2020-04-14,79,58.0,,21.0
2020-04-15,79,53.0,,26.0
2020-04-16,81,55.0,,26.0
2020-04-17,81,53.0,,28.0
2020-04-18,81,48.0,,33.0
2020-04-19,81,45.0,,36.0
2020-04-20,82,46.0,,36.0
2020-04-21,84,40.0,,44.0
2020-04-22,85,39.0,,46.0
2020-04-23,85,38.0,,47.0
2020-04-24,85,35.0,,50.0
2020-04-25,85,31.0,,54.0
2020-04-26,87,32.0,,55.0
2020-04-27,87,21.0,,66.0
2020-04-28,87,21.0,,66.0
2020-04-29,87,18.0,,69.0
2020-04-30,87,18.0,,69.0
2020-05-01,87,18.0,,69.0
2020-05-02,87,18.0,,69.0
2020-05-03,88,19.0,,69.0
2020-05-04,90,20.0,,70.0
2020-05-05,90,19.0,,71.0
2020-05-06,90,16.0,,74.0
2020-05-07,92,17.0,,75.0
2020-05-08,92,16.0,,76.0
2020-05-09,92,16.0,,76.0
2020-05-10,92,16.0,,76.0
2020-05-11,92,16.0,,76.0
2020-05-12,92,15.0,,77.0
2020-05-13,92,15.0,,77.0
2020-05-14,92,14.0,,78.0
2020-05-15,92,13.0,,79.0
2020-05-16,92,13.0,,79.0
2020-05-17,92,13.0,,79.0
2020-05-18,92,11.0,,81.0
2020-05-19,92,8.0,,84.0
2020-05-20,92,7.0,,85.0
2020-05-21,95,10.0,,85.0
2020-05-22,97,12.0,,85.0
2020-05-23,99,14.0,,85.0
2020-05-24,103,18.0,,85.0
2020-05-25,108,23.0,,85.0
2020-05-26,111,24.0,,87.0
2020-05-27,111,24.0,,87.0
2020-05-28,113,26.0,,87.0
