,zar,chor,zgo,wyl
2020-03-11,1,,,
2020-03-12,1,,,
2020-03-13,1,,,
2020-03-14,1,,,
2020-03-15,1,,,
2020-03-16,2,,,
2020-03-17,5,,,
2020-03-18,6,,,
2020-03-19,7,,,
2020-03-20,14,,,
2020-03-21,15,,,
2020-03-22,24,,,
2020-03-23,31,,,
2020-03-24,48,,,
2020-03-25,52,,,
2020-03-26,69,,,
2020-03-27,93,,,
2020-03-28,109,,,
2020-03-29,145,,,
2020-03-30,174,,,
2020-03-31,192,,1.0,
2020-04-01,209,,1.0,
2020-04-02,230,,4.0,
2020-04-03,258,,5.0,
2020-04-04,308,302.0,5.0,1.0
2020-04-05,327,318.0,7.0,2.0
2020-04-06,341,331.0,7.0,3.0
2020-04-07,371,358.0,8.0,5.0
2020-04-08,380,367.0,8.0,5.0
2020-04-09,432,418.0,8.0,6.0
2020-04-10,452,435.0,9.0,8.0
2020-04-11,485,463.0,10.0,12.0
2020-04-12,505,481.0,11.0,13.0
2020-04-13,518,493.0,12.0,13.0
2020-04-14,537,510.0,13.0,14.0
2020-04-15,561,521.0,15.0,25.0
2020-04-16,575,521.0,15.0,39.0
2020-04-17,596,531.0,16.0,49.0
2020-04-18,630,557.0,16.0,57.0
2020-04-19,646,560.0,17.0,69.0
2020-04-20,679,584.0,19.0,76.0
2020-04-21,707,605.0,20.0,82.0
2020-04-22,734,619.0,21.0,94.0
2020-04-23,766,629.0,23.0,114.0
2020-04-24,788,633.0,25.0,130.0
2020-04-25,812,645.0,27.0,140.0
2020-04-26,821,643.0,27.0,151.0
2020-04-27,841,639.0,29.0,173.0
2020-04-28,852,636.0,29.0,187.0
2020-04-29,876,639.0,30.0,207.0
2020-04-30,897,641.0,30.0,226.0
2020-05-01,913,645.0,30.0,238.0
2020-05-02,934,664.0,31.0,239.0
2020-05-03,944,667.0,31.0,246.0
2020-05-04,976,662.0,31.0,283.0
2020-05-05,997,658.0,32.0,307.0
2020-05-06,1009,651.0,32.0,326.0
2020-05-07,1019,639.0,33.0,347.0
2020-05-08,1033,620.0,33.0,380.0
2020-05-09,1043,620.0,34.0,389.0
2020-05-10,1047,602.0,35.0,410.0
2020-05-11,1071,594.0,35.0,442.0
2020-05-12,1074,567.0,35.0,472.0
2020-05-13,1084,560.0,35.0,489.0
2020-05-14,1108,547.0,35.0,526.0
2020-05-15,1117,534.0,35.0,548.0
2020-05-16,1124,521.0,37.0,566.0
2020-05-17,1128,517.0,39.0,572.0
2020-05-18,1133,493.0,39.0,601.0
2020-05-19,1148,482.0,39.0,627.0
2020-05-20,1150,459.0,40.0,651.0
2020-05-21,1165,447.0,40.0,678.0
2020-05-22,1167,420.0,40.0,707.0
2020-05-23,1171,412.0,40.0,719.0
2020-05-24,1176,409.0,40.0,727.0
2020-05-25,1176,389.0,40.0,747.0
2020-05-26,1179,358.0,40.0,781.0
2020-05-27,1181,337.0,40.0,804.0
2020-05-28,1190,323.0,40.0,827.0
