,zar,chor,zgo,wyl
2020-03-12,6,,,
2020-03-13,11,,,
2020-03-14,16,,,
2020-03-15,22,,,
2020-03-16,30,,,
2020-03-17,38,,,
2020-03-18,66,,,
2020-03-19,82,,,
2020-03-20,107,,,
2020-03-21,126,,,
2020-03-22,147,,1.0,
2020-03-23,175,,1.0,
2020-03-24,212,,1.0,
2020-03-26,291,,3.0,
2020-03-27,318,,3.0,
2020-03-28,421,,4.0,
2020-03-29,461,,4.0,
2020-03-30,487,475.0,7.0,5.0
2020-03-31,544,528.0,9.0,7.0
2020-04-01,612,594.0,11.0,7.0
2020-04-02,754,733.0,14.0,7.0
2020-04-03,808,786.0,14.0,8.0
2020-04-04,901,874.0,19.0,8.0
2020-04-05,967,937.0,20.0,10.0
2020-04-06,1065,1028.0,23.0,14.0
2020-04-07,1247,1203.0,25.0,19.0
2020-04-08,1314,1250.0,37.0,27.0
2020-04-09,1424,1349.0,41.0,34.0
2020-04-10,1501,1403.0,53.0,45.0
2020-04-11,1629,1513.0,65.0,51.0
2020-04-12,1664,1529.0,69.0,66.0
2020-04-13,1688,1468.0,70.0,150.0
2020-04-14,1715,1481.0,75.0,159.0
2020-04-15,1792,1533.0,83.0,176.0
2020-04-16,1846,1551.0,96.0,199.0
2020-04-17,1883,1565.0,100.0,218.0
2020-04-18,1936,1593.0,107.0,236.0
2020-04-19,1992,1617.0,108.0,267.0
2020-04-20,2030,1606.0,116.0,308.0
2020-04-21,2059,1582.0,126.0,351.0
2020-04-22,2098,1573.0,132.0,393.0
2020-04-23,2166,1587.0,142.0,437.0
2020-04-24,2206,1566.0,161.0,479.0
2020-04-25,2302,1621.0,172.0,509.0
2020-04-26,2348,1638.0,174.0,536.0
2020-04-27,2376,1609.0,182.0,585.0
2020-04-28,2391,1559.0,195.0,637.0
2020-04-29,2427,1550.0,198.0,679.0
2020-04-30,2452,1514.0,205.0,733.0
2020-05-01,2477,1506.0,206.0,765.0
2020-05-02,2508,1527.0,206.0,775.0
2020-05-03,2541,1545.0,207.0,789.0
2020-05-04,2553,1494.0,211.0,848.0
2020-05-05,2631,1458.0,214.0,959.0
2020-05-06,2673,1438.0,215.0,1020.0
2020-05-07,2709,1409.0,217.0,1083.0
2020-05-08,2731,1368.0,219.0,1144.0
2020-05-09,2765,1355.0,222.0,1188.0
2020-05-10,2791,1367.0,222.0,1202.0
2020-05-11,2808,1346.0,222.0,1240.0
2020-05-12,2829,1325.0,225.0,1279.0
2020-05-13,2880,1339.0,228.0,1313.0
2020-05-14,2902,1333.0,230.0,1339.0
2020-05-15,2930,1344.0,230.0,1356.0
2020-05-16,2949,1327.0,231.0,1391.0
2020-05-17,2970,1318.0,232.0,1420.0
2020-05-18,3003,1314.0,234.0,1455.0
2020-05-19,3040,1308.0,237.0,1495.0
2020-05-20,3082,1320.0,242.0,1520.0
2020-05-21,3128,1337.0,245.0,1546.0
2020-05-22,3157,1343.0,247.0,1567.0
2020-05-23,3197,1374.0,247.0,1576.0
2020-05-24,3217,1386.0,247.0,1584.0
2020-05-25,3283,1435.0,253.0,1595.0
2020-05-26,3359,1477.0,256.0,1626.0
2020-05-27,3396,1498.0,256.0,1642.0
2020-05-28,3461,1537.0,257.0,1667.0
