,zar,chor,zgo,wyl
2020-03-11,1,,,
2020-03-13,2,,,
2020-03-14,3,,,
2020-03-17,7,,,
2020-03-18,9,,,
2020-03-19,10,,,
2020-03-22,14,11.0,,3.0
2020-03-23,19,16.0,,3.0
2020-03-25,23,20.0,,3.0
2020-03-26,24,21.0,,3.0
2020-03-27,28,25.0,,3.0
2020-03-28,31,28.0,,3.0
2020-03-29,43,40.0,,3.0
2020-03-30,54,51.0,,3.0
2020-03-31,66,63.0,,3.0
2020-04-01,73,70.0,,3.0
2020-04-02,78,74.0,1.0,3.0
2020-04-03,90,85.0,1.0,4.0
2020-04-04,90,85.0,1.0,4.0
2020-04-05,94,88.0,1.0,5.0
2020-04-06,101,95.0,1.0,5.0
2020-04-07,107,99.0,3.0,5.0
2020-04-08,116,103.0,5.0,8.0
2020-04-09,127,113.0,6.0,8.0
2020-04-10,132,118.0,6.0,8.0
2020-04-11,143,129.0,6.0,8.0
2020-04-12,153,138.0,7.0,8.0
2020-04-13,173,158.0,7.0,8.0
2020-04-14,208,191.0,7.0,10.0
2020-04-15,221,200.0,9.0,12.0
2020-04-16,232,208.0,10.0,14.0
2020-04-17,256,227.0,13.0,16.0
2020-04-18,273,239.0,14.0,20.0
2020-04-19,277,243.0,14.0,20.0
2020-04-20,293,259.0,14.0,20.0
2020-04-21,299,264.0,15.0,20.0
2020-04-22,325,290.0,15.0,20.0
2020-04-23,331,294.0,17.0,20.0
2020-04-24,346,303.0,21.0,22.0
2020-04-25,353,308.0,23.0,22.0
2020-04-26,364,318.0,24.0,22.0
2020-04-27,374,325.0,26.0,23.0
2020-04-28,379,310.0,27.0,42.0
2020-04-29,391,318.0,28.0,45.0
2020-04-30,395,320.0,28.0,47.0
2020-05-01,399,306.0,28.0,65.0
2020-05-02,407,314.0,28.0,65.0
2020-05-03,423,330.0,28.0,65.0
2020-05-04,436,336.0,29.0,71.0
2020-05-05,441,319.0,29.0,93.0
2020-05-06,451,315.0,30.0,106.0
2020-05-07,460,319.0,31.0,110.0
2020-05-08,476,318.0,32.0,126.0
2020-05-09,479,304.0,32.0,143.0
2020-05-10,491,312.0,33.0,146.0
2020-05-11,498,307.0,34.0,157.0
2020-05-12,499,287.0,34.0,178.0
2020-05-13,503,277.0,36.0,190.0
2020-05-14,511,273.0,38.0,200.0
2020-05-15,528,276.0,39.0,213.0
2020-05-16,536,284.0,39.0,213.0
2020-05-17,545,291.0,39.0,215.0
2020-05-18,552,298.0,39.0,215.0
2020-05-19,557,302.0,40.0,215.0
2020-05-20,570,280.0,42.0,248.0
2020-05-21,578,268.0,42.0,268.0
2020-05-22,587,272.0,43.0,272.0
2020-05-23,592,277.0,43.0,272.0
2020-05-24,595,264.0,44.0,287.0
2020-05-25,600,260.0,44.0,296.0
2020-05-26,603,245.0,46.0,312.0
2020-05-27,612,247.0,46.0,319.0
2020-05-28,624,259.0,46.0,319.0
