,zar,chor,zgo,wyl
2020-04-05,149,135,5,9
2020-04-06,156,141,6,9
2020-04-07,168,151,7,10
2020-04-08,180,161,9,10
2020-04-09,194,174,10,10
2020-04-10,209,186,10,13
2020-04-11,220,195,11,14
2020-04-12,221,192,11,18
2020-04-13,225,182,13,30
2020-04-14,234,181,13,40
2020-04-15,243,180,14,49
2020-04-16,246,182,15,49
2020-04-17,251,173,15,63
2020-04-18,259,178,15,66
2020-04-19,263,166,16,81
2020-04-20,266,160,16,90
2020-04-21,270,150,16,104
2020-04-22,276,132,16,128
2020-04-23,279,113,16,150
2020-04-24,288,112,16,160
2020-04-25,311,134,16,161
2020-04-26,313,124,16,173
2020-04-27,316,118,18,180
2020-04-28,325,114,19,192
2020-04-29,328,106,23,199
2020-04-30,329,101,23,205
2020-05-01,337,107,23,207
2020-05-02,341,104,23,214
2020-05-03,350,104,24,222
2020-05-04,363,113,24,226
2020-05-05,366,113,24,229
2020-05-06,366,100,25,241
2020-05-07,368,98,27,243
2020-05-08,370,96,27,247
2020-05-09,370,94,27,249
2020-05-10,371,91,28,252
2020-05-11,371,84,29,258
2020-05-12,371,78,29,264
2020-05-13,371,76,29,266
2020-05-14,373,70,30,273
2020-05-15,373,64,31,278
2020-05-16,374,57,31,286
2020-05-17,374,51,31,292
2020-05-18,374,39,34,301
2020-05-19,374,30,34,310
2020-05-20,374,27,34,313
2020-05-21,375,25,34,316
2020-05-22,376,24,34,318
2020-05-23,377,23,35,319
2020-05-24,378,24,35,319
2020-05-25,378,23,35,320
2020-05-26,378,21,35,322
2020-05-27,378,17,35,326
2020-05-28,380,18,35,327
