,zar,chor,zgo,wyl
2020-03-17,1,,,
2020-03-18,1,,,
2020-03-19,1,,,
2020-03-20,3,,,
2020-03-21,5,,,
2020-03-22,5,,,
2020-03-23,6,,,
2020-03-24,7,,,
2020-03-25,9,,,
2020-03-26,10,,,
2020-03-27,17,,,
2020-03-28,26,,,
2020-03-29,28,,,
2020-03-30,36,,,
2020-03-31,36,,,
2020-04-01,44,,,
2020-04-02,59,,,
2020-04-03,67,66.0,,1.0
2020-04-04,82,81.0,,1.0
2020-04-05,82,81.0,,1.0
2020-04-06,97,91.0,1.0,5.0
2020-04-07,114,108.0,1.0,5.0
2020-04-08,131,125.0,1.0,5.0
2020-04-09,168,160.0,2.0,6.0
2020-04-10,189,179.0,2.0,8.0
2020-04-11,192,182.0,2.0,8.0
2020-04-12,195,183.0,2.0,10.0
2020-04-13,238,221.0,2.0,15.0
2020-04-14,246,229.0,2.0,15.0
2020-04-15,259,231.0,2.0,26.0
2020-04-16,278,243.0,3.0,32.0
2020-04-17,291,253.0,3.0,35.0
2020-04-18,316,276.0,3.0,37.0
2020-04-19,321,268.0,3.0,50.0
2020-04-20,327,268.0,3.0,56.0
2020-04-21,332,260.0,3.0,69.0
2020-04-22,335,238.0,3.0,94.0
2020-04-23,341,231.0,3.0,107.0
2020-04-24,344,227.0,3.0,114.0
2020-04-25,358,226.0,3.0,129.0
2020-04-26,361,218.0,3.0,140.0
2020-04-27,365,222.0,3.0,140.0
2020-04-28,367,210.0,3.0,154.0
2020-04-29,367,201.0,3.0,163.0
2020-04-30,373,193.0,3.0,177.0
2020-05-01,375,176.0,3.0,196.0
2020-05-02,377,177.0,4.0,196.0
2020-05-03,378,174.0,5.0,199.0
2020-05-04,378,163.0,5.0,210.0
2020-05-05,379,140.0,6.0,233.0
2020-05-06,380,131.0,6.0,243.0
2020-05-07,381,106.0,7.0,268.0
2020-05-08,383,96.0,7.0,280.0
2020-05-09,383,96.0,7.0,280.0
2020-05-10,384,97.0,7.0,280.0
2020-05-11,384,74.0,7.0,303.0
2020-05-12,385,66.0,7.0,312.0
2020-05-13,385,56.0,7.0,322.0
2020-05-14,386,57.0,7.0,322.0
2020-05-15,387,54.0,7.0,326.0
2020-05-16,387,54.0,7.0,326.0
2020-05-17,388,53.0,9.0,326.0
2020-05-18,389,54.0,9.0,326.0
2020-05-19,398,52.0,9.0,337.0
2020-05-20,404,54.0,9.0,341.0
2020-05-21,404,54.0,9.0,341.0
2020-05-22,410,56.0,9.0,345.0
2020-05-23,415,61.0,9.0,345.0
2020-05-24,419,65.0,9.0,345.0
2020-05-25,423,61.0,9.0,353.0
2020-05-26,430,62.0,9.0,359.0
2020-05-27,439,71.0,9.0,359.0
2020-05-28,442,74.0,9.0,359.0
