,zar,chor,zgo,wyl
2020-03-14,2,,,
2020-03-15,2,,,
2020-03-16,2,,,
2020-03-17,8,,,
2020-03-18,9,,,
2020-03-19,9,,,
2020-03-20,10,,,
2020-03-21,11,,,
2020-03-22,17,,,
2020-03-23,17,,,
2020-03-24,22,,,
2020-03-25,22,,,
2020-03-26,27,,,
2020-03-27,32,,,
2020-03-28,35,,,
2020-03-29,45,,,
2020-03-30,48,,,
2020-03-31,52,,,
2020-04-01,56,,,
2020-04-02,68,,,
2020-04-03,75,,,
2020-04-04,104,,,
2020-04-05,117,,,
2020-04-06,125,123.0,,2.0
2020-04-07,135,131.0,,4.0
2020-04-08,143,137.0,1.0,5.0
2020-04-09,153,147.0,1.0,5.0
2020-04-10,157,148.0,1.0,8.0
2020-04-11,163,153.0,1.0,9.0
2020-04-12,171,159.0,1.0,11.0
2020-04-13,175,161.0,1.0,13.0
2020-04-14,175,158.0,1.0,16.0
2020-04-15,179,157.0,1.0,21.0
2020-04-16,181,154.0,2.0,25.0
2020-04-17,185,155.0,2.0,28.0
2020-04-18,207,173.0,2.0,32.0
2020-04-19,209,168.0,2.0,39.0
2020-04-20,215,166.0,2.0,47.0
2020-04-21,219,158.0,2.0,59.0
2020-04-22,231,166.0,3.0,62.0
2020-04-23,243,169.0,3.0,71.0
2020-04-24,257,173.0,3.0,81.0
2020-04-25,296,204.0,3.0,89.0
2020-04-26,346,251.0,3.0,92.0
2020-04-27,357,247.0,5.0,105.0
2020-04-28,394,271.0,8.0,115.0
2020-04-29,424,292.0,10.0,122.0
2020-04-30,428,294.0,11.0,123.0
2020-05-01,434,299.0,12.0,123.0
2020-05-02,440,289.0,14.0,137.0
2020-05-03,444,292.0,15.0,137.0
2020-05-04,444,284.0,18.0,142.0
2020-05-05,451,286.0,19.0,146.0
2020-05-06,460,293.0,21.0,146.0
2020-05-07,468,290.0,22.0,156.0
2020-05-08,477,293.0,23.0,161.0
2020-05-09,478,272.0,24.0,182.0
2020-05-10,481,267.0,26.0,188.0
2020-05-11,485,256.0,27.0,202.0
2020-05-12,489,241.0,28.0,220.0
2020-05-13,491,235.0,28.0,228.0
2020-05-14,492,207.0,28.0,257.0
2020-05-15,493,195.0,28.0,270.0
2020-05-16,500,193.0,28.0,279.0
2020-05-17,502,189.0,28.0,285.0
2020-05-18,502,170.0,28.0,304.0
2020-05-19,503,157.0,29.0,317.0
2020-05-20,508,144.0,29.0,335.0
2020-05-21,513,138.0,29.0,346.0
2020-05-22,517,136.0,29.0,352.0
2020-05-23,527,140.0,30.0,357.0
2020-05-24,533,142.0,30.0,361.0
2020-05-25,540,142.0,30.0,368.0
2020-05-26,542,135.0,32.0,375.0
2020-05-27,546,132.0,33.0,381.0
2020-05-28,548,125.0,33.0,390.0
