,zar,chor,zgo,wyl
2020-03-14,12,,,
2020-03-15,14,,,
2020-03-16,18,,,
2020-03-17,24,,,
2020-03-18,30,,,
2020-03-19,42,,,
2020-03-20,43,,,
2020-03-21,56,,,
2020-03-22,66,,,
2020-03-23,77,,1.0,
2020-03-24,87,,2.0,
2020-03-25,102,97.0,2.0,3.0
2020-03-26,127,121.0,2.0,4.0
2020-03-27,141,135.0,2.0,4.0
2020-03-28,165,159.0,2.0,4.0
2020-03-29,195,186.0,5.0,4.0
2020-03-30,209,198.0,7.0,4.0
2020-03-31,264,250.0,8.0,6.0
2020-04-01,272,257.0,9.0,6.0
2020-04-02,403,384.0,12.0,7.0
2020-04-03,431,408.0,15.0,8.0
2020-04-04,496,461.0,23.0,12.0
2020-04-05,537,502.0,23.0,12.0
2020-04-06,562,524.0,26.0,12.0
2020-04-07,601,557.0,32.0,12.0
2020-04-08,644,587.0,36.0,21.0
2020-04-09,695,633.0,38.0,24.0
2020-04-10,729,659.0,38.0,32.0
2020-04-11,781,704.0,43.0,34.0
2020-04-12,846,767.0,44.0,35.0
2020-04-13,879,793.0,47.0,39.0
2020-04-14,943,851.0,52.0,40.0
2020-04-15,988,887.0,58.0,43.0
2020-04-16,1070,962.0,63.0,45.0
2020-04-17,1219,1101.0,67.0,51.0
2020-04-18,1273,1146.0,69.0,58.0
2020-04-19,1443,1309.0,74.0,60.0
2020-04-20,1514,1375.0,74.0,65.0
2020-04-21,1568,1408.0,79.0,81.0
2020-04-22,1614,1438.0,83.0,93.0
2020-04-23,1649,1436.0,86.0,127.0
2020-04-24,1746,1526.0,89.0,131.0
2020-04-25,1813,1550.0,93.0,170.0
2020-04-26,1887,1583.0,94.0,210.0
2020-04-27,1929,1620.0,99.0,210.0
2020-04-28,2023,1608.0,105.0,310.0
2020-04-29,2182,1747.0,113.0,322.0
2020-04-30,2239,1725.0,118.0,396.0
2020-05-01,2380,1800.0,120.0,460.0
2020-05-02,2446,1810.0,122.0,514.0
2020-05-03,2576,1895.0,126.0,555.0
2020-05-04,2656,1928.0,129.0,599.0
2020-05-05,2790,2044.0,133.0,613.0
2020-05-06,2947,2143.0,138.0,666.0
2020-05-07,3063,2211.0,142.0,710.0
2020-05-08,3242,2371.0,146.0,725.0
2020-05-09,3395,2439.0,146.0,810.0
2020-05-10,3566,2539.0,150.0,877.0
2020-05-11,3779,2723.0,151.0,905.0
2020-05-12,4271,3179.0,157.0,935.0
2020-05-13,4399,3246.0,158.0,995.0
2020-05-14,4701,3506.0,166.0,1029.0
2020-05-15,4994,3760.0,173.0,1061.0
2020-05-16,5159,3896.0,175.0,1088.0
2020-05-17,5339,4057.0,178.0,1104.0
2020-05-18,5544,4194.0,179.0,1171.0
2020-05-19,5807,4429.0,181.0,1197.0
2020-05-20,6082,4666.0,182.0,1234.0
2020-05-21,6333,4888.0,186.0,1259.0
2020-05-22,6618,5112.0,187.0,1319.0
2020-05-23,6797,5264.0,189.0,1344.0
2020-05-24,6982,5397.0,191.0,1394.0
2020-05-25,7140,5519.0,192.0,1429.0
2020-05-26,7414,5712.0,194.0,1508.0
2020-05-27,7590,5841.0,195.0,1554.0
2020-05-28,7728,5912.0,201.0,1615.0
