,zar,chor,zgo,wyl
2020-03-21,6,,,
2020-03-22,7,,,
2020-03-23,8,,,
2020-03-24,8,,,
2020-03-25,12,,1.0,
2020-03-26,15,,1.0,
2020-03-27,18,,1.0,
2020-03-28,27,,1.0,
2020-03-29,34,,1.0,
2020-03-30,37,,1.0,
2020-03-31,49,,1.0,
2020-04-01,56,52.0,1.0,3.0
2020-04-02,62,58.0,1.0,3.0
2020-04-03,71,67.0,1.0,3.0
2020-04-04,81,77.0,1.0,3.0
2020-04-05,93,88.0,1.0,4.0
2020-04-06,103,98.0,1.0,4.0
2020-04-07,120,114.0,1.0,5.0
2020-04-08,127,120.0,2.0,5.0
2020-04-09,129,122.0,2.0,5.0
2020-04-10,136,128.0,2.0,6.0
2020-04-11,138,130.0,2.0,6.0
2020-04-12,141,133.0,2.0,6.0
2020-04-13,142,134.0,2.0,6.0
2020-04-14,154,145.0,2.0,7.0
2020-04-15,170,161.0,2.0,7.0
2020-04-16,175,165.0,3.0,7.0
2020-04-17,193,182.0,4.0,7.0
2020-04-18,203,192.0,4.0,7.0
2020-04-19,210,199.0,4.0,7.0
2020-04-20,227,216.0,4.0,7.0
2020-04-21,238,227.0,4.0,7.0
2020-04-22,247,236.0,4.0,7.0
2020-04-23,248,203.0,6.0,39.0
2020-04-24,253,208.0,6.0,39.0
2020-04-25,255,196.0,7.0,52.0
2020-04-26,258,196.0,7.0,55.0
2020-04-27,261,196.0,7.0,58.0
2020-04-28,264,198.0,8.0,58.0
2020-04-29,266,200.0,8.0,58.0
2020-04-30,270,183.0,8.0,79.0
2020-05-01,270,182.0,8.0,80.0
2020-05-02,271,159.0,8.0,104.0
2020-05-03,278,166.0,8.0,104.0
2020-05-04,282,155.0,8.0,119.0
2020-05-05,300,165.0,9.0,126.0
2020-05-06,300,131.0,10.0,159.0
2020-05-07,303,130.0,10.0,163.0
2020-05-08,312,126.0,11.0,175.0
2020-05-09,321,135.0,11.0,175.0
2020-05-10,325,131.0,12.0,182.0
2020-05-11,325,131.0,12.0,182.0
2020-05-12,328,131.0,13.0,184.0
2020-05-13,337,131.0,13.0,193.0
2020-05-14,337,129.0,14.0,194.0
2020-05-15,340,126.0,16.0,198.0
2020-05-16,341,120.0,17.0,204.0
2020-05-17,341,119.0,17.0,205.0
2020-05-18,352,122.0,18.0,212.0
2020-05-19,353,122.0,19.0,212.0
2020-05-20,357,113.0,20.0,224.0
2020-05-21,361,117.0,20.0,224.0
2020-05-22,366,112.0,20.0,234.0
2020-05-23,374,117.0,20.0,237.0
2020-05-24,382,123.0,20.0,239.0
2020-05-25,392,131.0,20.0,241.0
2020-05-26,399,134.0,21.0,244.0
2020-05-27,408,143.0,21.0,244.0
2020-05-28,432,164.0,21.0,247.0
