,zar,chor,zgo,wyl
2020-03-06,1,,,
2020-03-07,2,,,
2020-03-08,2,,,
2020-03-09,2,,,
2020-03-10,2,,,
2020-03-11,4,,,
2020-03-12,4,,,
2020-03-13,4,,,
2020-03-14,4,,,
2020-03-15,5,,,
2020-03-16,5,,,
2020-03-17,7,,,
2020-03-18,8,,,
2020-03-19,12,,,
2020-03-20,12,,,
2020-03-21,16,,,
2020-03-22,22,,,
2020-03-23,22,,,
2020-03-24,29,,,
2020-03-25,33,,,
2020-03-26,36,35.0,,1.0
2020-03-27,44,43.0,,1.0
2020-03-28,46,45.0,,1.0
2020-03-29,56,55.0,,1.0
2020-03-30,57,56.0,,1.0
2020-03-31,58,56.0,,2.0
2020-04-01,61,59.0,,2.0
2020-04-02,66,64.0,,2.0
2020-04-03,72,70.0,,2.0
2020-04-04,78,75.0,1.0,2.0
2020-04-05,80,74.0,1.0,5.0
2020-04-06,83,77.0,1.0,5.0
2020-04-07,87,76.0,1.0,10.0
2020-04-08,92,80.0,1.0,11.0
2020-04-09,95,76.0,1.0,18.0
2020-04-10,110,91.0,1.0,18.0
2020-04-11,111,89.0,1.0,21.0
2020-04-12,122,99.0,1.0,22.0
2020-04-13,122,99.0,1.0,22.0
2020-04-14,122,98.0,1.0,23.0
2020-04-15,125,96.0,1.0,28.0
2020-04-16,129,94.0,1.0,34.0
2020-04-17,139,103.0,1.0,35.0
2020-04-18,139,101.0,1.0,37.0
2020-04-19,142,101.0,1.0,40.0
2020-04-20,143,91.0,1.0,51.0
2020-04-21,143,89.0,1.0,53.0
2020-04-22,143,87.0,1.0,55.0
2020-04-23,143,86.0,1.0,56.0
2020-04-24,144,81.0,1.0,62.0
2020-04-25,144,74.0,1.0,69.0
2020-04-26,144,70.0,1.0,73.0
2020-04-27,144,60.0,1.0,83.0
2020-04-28,144,57.0,1.0,86.0
2020-04-29,144,50.0,1.0,93.0
2020-04-30,146,47.0,1.0,98.0
2020-05-01,146,46.0,1.0,99.0
2020-05-02,146,43.0,1.0,102.0
2020-05-03,146,42.0,1.0,103.0
2020-05-04,148,40.0,1.0,107.0
2020-05-05,152,44.0,1.0,107.0
2020-05-06,152,43.0,1.0,108.0
2020-05-07,156,47.0,1.0,108.0
2020-05-08,157,39.0,1.0,117.0
2020-05-09,160,36.0,1.0,123.0
2020-05-10,162,38.0,1.0,123.0
2020-05-11,162,38.0,1.0,123.0
2020-05-12,164,39.0,1.0,124.0
2020-05-13,168,43.0,1.0,124.0
2020-05-14,169,44.0,1.0,124.0
2020-05-15,170,40.0,1.0,129.0
2020-05-16,170,40.0,1.0,129.0
2020-05-17,170,39.0,1.0,130.0
2020-05-18,170,37.0,1.0,132.0
2020-05-19,175,42.0,1.0,132.0
2020-05-20,175,42.0,1.0,132.0
2020-05-21,174,32.0,1.0,141.0
2020-05-22,174,32.0,1.0,141.0
2020-05-23,175,32.0,1.0,142.0
2020-05-24,175,32.0,1.0,142.0
2020-05-25,175,32.0,1.0,142.0
2020-05-26,179,35.0,1.0,143.0
2020-05-27,179,31.0,1.0,147.0
2020-05-28,179,29.0,1.0,149.0
