,zar,chor,zgo,wyl
2020-03-09,1,,,
2020-03-10,1,,,
2020-03-11,2,,,
2020-03-12,4,,1.0,
2020-03-13,6,,1.0,
2020-03-14,7,,1.0,
2020-03-15,10,,1.0,
2020-03-16,11,,1.0,
2020-03-17,13,,1.0,
2020-03-18,13,,1.0,
2020-03-19,15,,1.0,
2020-03-20,18,,1.0,
2020-03-21,31,,1.0,
2020-03-22,36,,2.0,
2020-03-23,36,,2.0,
2020-03-24,44,,2.0,
2020-03-25,59,,2.0,
2020-03-26,71,,2.0,
2020-03-27,92,,2.0,
2020-03-28,101,,2.0,
2020-03-29,110,,2.0,
2020-03-30,134,,3.0,
2020-03-31,150,,3.0,
2020-04-01,171,,6.0,
2020-04-02,197,,8.0,
2020-04-03,215,,12.0,
2020-04-04,235,,13.0,
2020-04-05,275,,14.0,
2020-04-06,329,,15.0,
2020-04-07,351,,22.0,
2020-04-08,396,367.0,23.0,6.0
2020-04-09,433,402.0,24.0,7.0
2020-04-10,479,444.0,26.0,9.0
2020-04-11,537,492.0,31.0,14.0
2020-04-12,566,514.0,35.0,17.0
2020-04-13,649,590.0,40.0,19.0
2020-04-14,683,615.0,43.0,25.0
2020-04-15,785,708.0,43.0,34.0
2020-04-16,829,742.0,45.0,42.0
2020-04-17,880,776.0,48.0,56.0
2020-04-18,898,786.0,49.0,63.0
2020-04-19,1020,906.0,51.0,63.0
2020-04-20,1050,914.0,57.0,79.0
2020-04-21,1081,927.0,61.0,93.0
2020-04-22,1099,931.0,66.0,102.0
2020-04-23,1166,983.0,68.0,115.0
2020-04-24,1236,1025.0,72.0,139.0
2020-04-25,1266,1025.0,75.0,166.0
2020-04-26,1307,1056.0,77.0,174.0
2020-04-27,1343,1057.0,82.0,204.0
2020-04-28,1376,1070.0,85.0,221.0
2020-04-29,1415,1082.0,85.0,248.0
2020-04-30,1441,1076.0,87.0,278.0
2020-05-01,1443,1078.0,87.0,278.0
2020-05-02,1494,1109.0,91.0,294.0
2020-05-03,1518,1096.0,94.0,328.0
2020-05-04,1529,1069.0,96.0,364.0
2020-05-05,1598,1092.0,98.0,408.0
2020-05-06,1616,1084.0,102.0,430.0
2020-05-07,1640,1078.0,105.0,457.0
2020-05-08,1655,1054.0,108.0,493.0
2020-05-09,1670,1053.0,111.0,506.0
2020-05-10,1672,1036.0,116.0,520.0
2020-05-11,1699,1042.0,118.0,539.0
2020-05-12,1710,1008.0,123.0,579.0
2020-05-13,1722,960.0,133.0,629.0
2020-05-14,1735,940.0,135.0,660.0
2020-05-15,1752,934.0,136.0,682.0
2020-05-16,1757,937.0,138.0,682.0
2020-05-17,1797,936.0,139.0,722.0
2020-05-18,1810,928.0,140.0,742.0
2020-05-19,1815,933.0,140.0,742.0
2020-05-20,1899,1016.0,141.0,742.0
2020-05-21,1925,881.0,143.0,901.0
2020-05-22,1941,864.0,144.0,933.0
2020-05-23,1953,876.0,144.0,933.0
2020-05-24,2021,916.0,144.0,961.0
2020-05-25,2040,888.0,146.0,1006.0
2020-05-26,2059,861.0,147.0,1051.0
2020-05-27,2118,877.0,147.0,1094.0
2020-05-28,2133,862.0,149.0,1122.0
