,zar,chor,zgo,wyl
2020-03-12,3,,,
2020-03-13,5,,,
2020-03-14,5,,,
2020-03-15,5,,,
2020-03-16,6,,,
2020-03-17,7,,,
2020-03-18,8,,,
2020-03-19,9,,,
2020-03-20,9,,,
2020-03-21,10,,,
2020-03-22,12,,,
2020-03-23,14,,,
2020-03-24,26,,,
2020-03-25,30,,,
2020-03-26,33,,1.0,
2020-03-27,34,,1.0,
2020-03-28,51,,1.0,
2020-03-29,57,,1.0,
2020-03-30,59,,1.0,
2020-03-31,67,,1.0,
2020-04-01,79,,1.0,
2020-04-02,89,,2.0,
2020-04-03,89,,2.0,
2020-04-04,100,,2.0,
2020-04-05,106,,2.0,
2020-04-06,107,,2.0,
2020-04-07,133,125.0,2.0,6.0
2020-04-08,165,157.0,2.0,6.0
2020-04-09,174,165.0,2.0,7.0
2020-04-10,184,174.0,2.0,8.0
2020-04-11,191,174.0,2.0,15.0
2020-04-12,193,175.0,2.0,16.0
2020-04-13,203,182.0,2.0,19.0
2020-04-14,211,189.0,2.0,20.0
2020-04-15,217,194.0,2.0,21.0
2020-04-16,223,198.0,2.0,23.0
2020-04-17,230,200.0,2.0,28.0
2020-04-18,249,216.0,2.0,31.0
2020-04-19,266,226.0,4.0,36.0
2020-04-20,277,232.0,4.0,41.0
2020-04-21,279,223.0,4.0,52.0
2020-04-22,288,226.0,4.0,58.0
2020-04-23,304,238.0,4.0,62.0
2020-04-24,335,260.0,6.0,69.0
2020-04-25,343,259.0,7.0,77.0
2020-04-26,355,256.0,9.0,90.0
2020-04-27,370,262.0,9.0,99.0
2020-04-28,374,248.0,9.0,117.0
2020-04-29,380,238.0,10.0,132.0
2020-04-30,396,246.0,10.0,140.0
2020-05-01,401,247.0,10.0,144.0
2020-05-02,406,241.0,10.0,155.0
2020-05-03,414,243.0,10.0,161.0
2020-05-04,428,248.0,14.0,166.0
2020-05-05,441,257.0,14.0,170.0
2020-05-06,452,260.0,15.0,177.0
2020-05-07,460,259.0,16.0,185.0
2020-05-08,464,243.0,16.0,205.0
2020-05-09,469,232.0,16.0,221.0
2020-05-10,473,233.0,16.0,224.0
2020-05-11,474,220.0,16.0,238.0
2020-05-12,480,221.0,16.0,243.0
2020-05-13,486,219.0,16.0,251.0
2020-05-14,488,203.0,17.0,268.0
2020-05-15,491,197.0,18.0,276.0
2020-05-16,492,194.0,18.0,280.0
2020-05-17,494,193.0,18.0,283.0
2020-05-18,497,189.0,18.0,290.0
2020-05-19,502,181.0,18.0,303.0
2020-05-20,503,158.0,18.0,327.0
2020-05-21,515,165.0,18.0,332.0
2020-05-22,517,153.0,19.0,345.0
2020-05-23,521,155.0,19.0,347.0
2020-05-24,522,144.0,19.0,359.0
2020-05-25,521,140.0,19.0,362.0
2020-05-26,525,132.0,19.0,374.0
2020-05-27,527,124.0,19.0,384.0
2020-05-28,527,113.0,19.0,395.0
